P31946,UniProtKB-ID,1433B_HUMAN
P31946,Gene_Name,YWHAB
P62258,Gene_Name,YWHAE
Q04917,Gene_Name,YWHAH
P61981,Gene_Name,YWHAG
P31947,Gene_Name,SFN
P27348,Gene_Name,YWHAQ
P63104,Gene_Name,YWHAZ
Q96QU6,Gene_Name,ACCS
Q4AC99,Gene_Name,ACCSL
Q15172,Gene_Name,PPP2R5A
Q15173,Gene_Name,PPP2R5B
Q14738,Gene_Name,PPP2R5D
Q16537,Gene_Name,PPP2R5E
Q13362,Gene_Name,PPP2R5C
P30153,Gene_Name,PPP2R1A
P30154,Gene_Name,PPP2R1B
P63151,Gene_Name,PPP2R2A
Q00005,Gene_Name,PPP2R2B
Q66LE6,Gene_Name,PPP2R2D
Q9Y2T4,Gene_Name,PPP2R2C
P14060,Gene_Name,HSD3B1
P26439,Gene_Name,HSD3B2
Q9H2F3,Gene_Name,HSD3B7
Q9Y3L3,Gene_Name,SH3BP1
P78314,Gene_Name,SH3BP2
Q7L8J4,Gene_Name,SH3BP5L
O60239,Gene_Name,SH3BP5
P46952,Gene_Name,HAAO
P31937,Gene_Name,HIBADH
P29372,Gene_Name,MPG
Q13541,Gene_Name,EIF4EBP1
Q13542,Gene_Name,EIF4EBP2
O60516,Gene_Name,EIF4EBP3
Q9NRA8,Gene_Name,EIF4ENIF1
P08195,Gene_Name,SLC3A2
P08908,Gene_Name,HTR1A
P28222,Gene_Name,HTR1B
P28221,Gene_Name,HTR1D
P28566,Gene_Name,HTR1E
P30939,Gene_Name,HTR1F
P28223,Gene_Name,HTR2A
P41595,Gene_Name,HTR2B
P28335,Gene_Name,HTR2C
P46098,Gene_Name,HTR3A
O95264,Gene_Name,HTR3B
Q8WXA8,Gene_Name,HTR3C
Q70Z44,Gene_Name,HTR3D
A5X5Y0,Gene_Name,HTR3E
Q13639,Gene_Name,HTR4
P47898,Gene_Name,HTR5A
P50406,Gene_Name,HTR6
P34969,Gene_Name,HTR7
Q9Y6E2,Gene_Name,BZW2
Q7L1Q6,Gene_Name,BZW1
Q9BXI3,Gene_Name,NT5C1A
Q96P26,Gene_Name,NT5C1B
Q9H0P0,Gene_Name,NT5C3A
Q969T7,Gene_Name,NT5C3B
P49902,Gene_Name,NT5C2
P21589,Gene_Name,NT5E
P52209,Gene_Name,PGD
O95336,Gene_Name,PGLS
P05408,Gene_Name,SCG5
P36639,Gene_Name,NUDT1
P0DKL9,Gene_Name,ARL14EPL
Q8IZ83,Gene_Name,ALDH16A1
Q676U5,Gene_Name,ATG16L1
Q8NAA4,Gene_Name,ATG16L2
P02763,Gene_Name,ORM1
P19652,Gene_Name,ORM2
P20848,Gene_Name,SERPINA2
P01009,Gene_Name,SERPINA1
P04217,Gene_Name,A1BG
Q9NQ94,Gene_Name,A1CF
Q8NF67,Gene_Name,ANKRD20A12P
Q5TYW2,Gene_Name,ANKRD20A1
Q5SQ80,Gene_Name,ANKRD20A2P
Q5VUR7,Gene_Name,ANKRD20A3P
Q4UJ75,Gene_Name,ANKRD20A4P
A0PJZ0,Gene_Name,ANKRD20A5P
Q96IX9,Gene_Name,ANKRD36BP1
P08697,Gene_Name,SERPINF2
P02750,Gene_Name,LRG1
P01023,Gene_Name,A2M
A8K2U0,Gene_Name,A2ML1
A7E2S9,Gene_Name,ANKRD30BL
U3KPV4,Gene_Name,A3GALT2
Q5T5F5,Gene_Name,ADAMTSL4-AS1
Q9NPC4,Gene_Name,A4GALT
Q9UNA3,Gene_Name,A4GNT
P05067,Gene_Name,APP
Q96GX2,Gene_Name,ATXN7L3B
P30542,Gene_Name,ADORA1
P29274,Gene_Name,ADORA2A
P29275,Gene_Name,ADORA2B
P0DMS8,Gene_Name,ADORA3
Q9NS82,Gene_Name,SLC7A10
P22760,Gene_Name,AADAC
Q9NRG9,Gene_Name,AAAS
Q15758,Gene_Name,SLC1A5
Q86V21,Gene_Name,AACS
P01011,Gene_Name,SERPINA3
Q8N5Z0,Gene_Name,AADAT
Q6PD74,Gene_Name,AAGAB
Q2M2I8,Gene_Name,AAK1
Q9Y478,Gene_Name,PRKAB1
O43741,Gene_Name,PRKAB2
P54619,Gene_Name,PRKAG1
Q9UGJ0,Gene_Name,PRKAG2
Q9UGI9,Gene_Name,PRKAG3
Q9H7C9,Gene_Name,AAMDC
Q13685,Gene_Name,AAMP
Q13131,Gene_Name,PRKAA1
P54646,Gene_Name,PRKAA2
Q9Y312,Gene_Name,AAR2
Q4LEZ3,Gene_Name,AARD
P86434,Gene_Name,ADORA2A-AS1
Q9BTE6,Gene_Name,AARSD1
Q9UDR5,Gene_Name,AASS
Q8NHS2,Gene_Name,GOT1L1
P17174,Gene_Name,GOT1
Q9NY61,Gene_Name,AATF
P00505,Gene_Name,GOT2
Q7Z5M8,Gene_Name,ABHD12B
Q96GS6,Gene_Name,ABHD17A
Q5VST6,Gene_Name,ABHD17B
Q6PCB6,Gene_Name,ABHD17C
Q7Z5R6,Gene_Name,APBB1IP
P31941,Gene_Name,APOBEC3A
Q9UH17,Gene_Name,APOBEC3B
Q9NRW3,Gene_Name,APOBEC3C
Q96AK3,Gene_Name,APOBEC3D
Q8IUX4,Gene_Name,APOBEC3F
Q9HC16,Gene_Name,APOBEC3G
Q6NTF7,Gene_Name,APOBEC3H
O95477,Gene_Name,ABCA1
Q9BZC7,Gene_Name,ABCA2
Q99758,Gene_Name,ABCA3
P78363,Gene_Name,ABCA4
Q8WWZ7,Gene_Name,ABCA5
Q8N139,Gene_Name,ABCA6
Q8IZY2,Gene_Name,ABCA7
O94911,Gene_Name,ABCA8
Q8IUA7,Gene_Name,ABCA9
Q8WWZ4,Gene_Name,ABCA10
Q86UK0,Gene_Name,ABCA12
Q86UQ4,Gene_Name,ABCA13
Q2M3G0,Gene_Name,ABCB5
Q9NP58,Gene_Name,ABCB6
O75027,Gene_Name,ABCB7
Q9NP78,Gene_Name,ABCB9
Q9NRK6,Gene_Name,ABCB10
O95342,Gene_Name,ABCB11
Q09428,Gene_Name,ABCC8
O60706,Gene_Name,ABCC9
P33897,Gene_Name,ABCD1
Q9UBJ2,Gene_Name,ABCD2
P28288,Gene_Name,ABCD3
O14678,Gene_Name,ABCD4
P61221,Gene_Name,ABCE1
Q8NE71,Gene_Name,ABCF1
Q9UG63,Gene_Name,ABCF2
Q9NUQ8,Gene_Name,ABCF3
P45844,Gene_Name,ABCG1
Q9UNQ0,Gene_Name,ABCG2
Q9H172,Gene_Name,ABCG4
Q9H222,Gene_Name,ABCG5
Q9H221,Gene_Name,ABCG8
Q8N2K0,Gene_Name,ABHD12
Q0P651,Gene_Name,ABHD18
P41238,Gene_Name,APOBEC1
Q9Y235,Gene_Name,APOBEC2
Q8WW27,Gene_Name,APOBEC4
Q6UXT9,Gene_Name,ABHD15
Q96SE0,Gene_Name,ABHD1
P08910,Gene_Name,ABHD2
Q8WU67,Gene_Name,ABHD3
Q8TB40,Gene_Name,ABHD4
